seq,timestamp,self_id,target_id,distance,gt_distance
0,3.836000,2,0,2.720851,2.828427
0,3.836000,2,1,2.115650,2.000000
0,3.836000,2,3,1.876612,2.000000
1,3.876000,2,0,2.854823,2.828427
1,3.876000,2,1,2.027399,2.000000
1,3.876000,2,3,1.851905,2.000000
2,3.916000,2,0,2.829386,2.828427
2,3.916000,2,1,2.018588,2.000000
2,3.916000,2,3,2.039745,2.000000
3,3.956000,2,0,2.902328,2.828427
3,3.956000,2,1,1.936013,2.000000
3,3.956000,2,3,2.116516,2.000000
4,3.996000,2,0,2.906799,2.828427
4,3.996000,2,1,2.068545,2.000000
4,3.996000,2,3,2.022793,2.000000
5,4.036000,2,0,2.843939,2.828427
5,4.036000,2,1,2.074678,2.000000
5,4.036000,2,3,1.874132,2.000000
6,4.078000,2,0,2.832204,2.828427
6,4.078000,2,1,2.023567,2.000000
6,4.078000,2,3,1.964740,2.000000
7,4.116000,2,0,2.912645,2.828427
7,4.116000,2,1,2.083056,2.000000
7,4.116000,2,3,1.946191,2.000000
8,4.156000,2,0,2.868268,2.828427
8,4.156000,2,1,1.864077,2.000000
8,4.156000,2,3,1.979171,2.000000
9,4.200000,2,0,2.835727,2.828427
9,4.200000,2,1,1.984242,2.000000
9,4.200000,2,3,1.889289,2.000000
10,4.236000,2,0,2.776280,2.828427
10,4.236000,2,1,1.985723,2.000000
10,4.236000,2,3,2.114089,2.000000
11,4.276000,2,0,2.749220,2.828427
11,4.276000,2,1,1.903422,2.000000
11,4.276000,2,3,1.888050,2.000000
12,4.316000,2,0,2.805377,2.828427
12,4.316000,2,1,1.947144,2.000000
12,4.316000,2,3,1.963015,2.000000
13,4.356000,2,0,2.929153,2.828427
13,4.356000,2,1,1.877146,2.000000
13,4.356000,2,3,1.910346,2.000000
14,4.396000,2,0,2.770675,2.828427
14,4.396000,2,1,2.023273,2.000000
14,4.396000,2,3,1.873953,2.000000
15,4.436000,2,0,2.904082,2.828427
15,4.436000,2,1,1.861528,2.000000
15,4.436000,2,3,2.085438,2.000000
16,4.476000,2,0,2.654049,2.828427
16,4.476000,2,1,1.951845,2.000000
16,4.476000,2,3,2.099129,2.000000
17,4.516000,2,0,2.919328,2.828427
17,4.516000,2,1,1.995279,2.000000
17,4.516000,2,3,1.949883,2.000000
18,4.556000,2,0,2.854867,2.828427
18,4.556000,2,1,2.120515,2.000000
18,4.556000,2,3,1.956235,2.000000
19,4.598000,2,0,2.795327,2.828427
19,4.598000,2,1,2.062679,2.000000
19,4.598000,2,3,1.869744,2.000000
20,4.638000,2,0,2.918480,2.828427
20,4.638000,2,1,2.134641,2.000000
20,4.638000,2,3,2.147449,2.000000
21,4.676000,2,0,2.699305,2.828427
21,4.676000,2,1,1.995090,2.000000
21,4.676000,2,3,2.085301,2.000000
22,4.716000,2,0,2.845799,2.828427
22,4.716000,2,1,2.061846,2.000000
22,4.716000,2,3,1.923754,2.000000
23,4.756000,2,0,2.796072,2.828427
23,4.756000,2,1,2.006863,2.000000
23,4.756000,2,3,1.985327,2.000000
24,4.796000,2,0,2.735432,2.828427
24,4.796000,2,1,1.939120,2.000000
24,4.796000,2,3,1.994944,2.000000
25,4.836000,2,0,2.706602,2.828427
25,4.836000,2,1,1.906235,2.000000
25,4.836000,2,3,1.903307,2.000000
26,4.876000,2,0,2.665789,2.828427
26,4.876000,2,1,2.003820,2.000000
26,4.876000,2,3,1.919630,2.000000
27,4.916000,2,0,2.820030,2.828427
27,4.916000,2,1,1.971254,2.000000
27,4.916000,2,3,1.982549,2.000000
28,4.956000,2,0,2.778052,2.828427
28,4.956000,2,1,2.051873,2.000000
28,4.956000,2,3,2.021895,2.000000
29,5.002000,2,0,2.969794,2.828427
29,5.002000,2,1,2.055161,2.000000
29,5.002000,2,3,1.937344,2.000000
30,5.036000,2,0,2.880057,2.828427
30,5.036000,2,1,2.101955,2.000000
30,5.036000,2,3,1.883453,2.000000
31,5.076000,2,0,2.958207,2.828427
31,5.076000,2,1,2.034768,2.000000
31,5.076000,2,3,2.056737,2.000000
32,5.116000,2,0,2.734317,2.828427
32,5.116000,2,1,2.187494,2.000000
32,5.116000,2,3,2.067746,2.000000
33,5.156000,2,0,2.815851,2.828427
33,5.156000,2,1,2.020054,2.000000
33,5.156000,2,3,2.080726,2.000000
34,5.198000,2,0,2.769611,2.828427
34,5.198000,2,1,2.033282,2.000000
34,5.198000,2,3,1.963684,2.000000
35,5.236000,2,0,2.962549,2.828427
35,5.236000,2,1,2.066376,2.000000
35,5.236000,2,3,1.964859,2.000000
36,5.276000,2,0,2.891623,2.828427
36,5.276000,2,1,1.940572,2.000000
36,5.276000,2,3,1.952968,2.000000
37,5.318000,2,0,2.888572,2.828427
37,5.318000,2,1,1.905950,2.000000
37,5.318000,2,3,2.068667,2.000000
38,5.356000,2,0,2.689849,2.828427
38,5.356000,2,1,2.030796,2.000000
38,5.356000,2,3,1.993893,2.000000
39,5.398000,2,0,2.830181,2.828427
39,5.398000,2,1,1.998352,2.000000
39,5.398000,2,3,2.045038,2.000000
40,5.436000,2,0,2.819739,2.828427
40,5.436000,2,1,1.886111,2.000000
40,5.436000,2,3,2.023468,2.000000
41,5.476000,2,0,2.888925,2.828427
41,5.476000,2,1,2.039311,2.000000
41,5.476000,2,3,1.965871,2.000000
42,5.516000,2,0,2.846794,2.828427
42,5.516000,2,1,2.006910,2.000000
42,5.516000,2,3,1.956578,2.000000
43,5.556000,2,0,2.971800,2.828427
43,5.556000,2,1,2.081330,2.000000
43,5.556000,2,3,2.119032,2.000000
44,5.596000,2,0,2.738069,2.828427
44,5.596000,2,1,2.094019,2.000000
44,5.596000,2,3,1.982919,2.000000
45,5.636000,2,0,2.860961,2.828427
45,5.636000,2,1,2.124801,2.000000
45,5.636000,2,3,1.994575,2.000000
46,5.676000,2,0,2.800687,2.828427
46,5.676000,2,1,1.990135,2.000000
46,5.676000,2,3,2.011854,2.000000
47,5.716000,2,0,2.841548,2.828427
47,5.716000,2,1,2.039169,2.000000
47,5.716000,2,3,1.886477,2.000000
48,5.756000,2,0,2.787175,2.828427
48,5.756000,2,1,1.974413,2.000000
48,5.756000,2,3,1.939625,2.000000
49,5.800000,2,0,2.849311,2.828427
49,5.800000,2,1,1.847680,2.000000
49,5.800000,2,3,1.864944,2.000000
50,5.836000,2,0,2.939495,2.828427
50,5.836000,2,1,1.873379,2.000000
50,5.836000,2,3,1.934450,2.000000
51,5.876000,2,0,2.917811,2.828427
51,5.876000,2,1,1.997497,2.000000
51,5.876000,2,3,1.992946,2.000000
52,5.916000,2,0,2.806199,2.828427
52,5.916000,2,1,1.908233,2.000000
52,5.916000,2,3,1.975900,2.000000
53,5.956000,2,0,2.809024,2.828427
53,5.956000,2,1,2.076196,2.000000
53,5.956000,2,3,1.888466,2.000000
54,5.996000,2,0,2.939101,2.828427
54,5.996000,2,1,1.886869,2.000000
54,5.996000,2,3,2.021162,2.000000
55,6.036000,2,0,2.896266,2.828427
55,6.036000,2,1,2.110761,2.000000
55,6.036000,2,3,1.991531,2.000000
56,6.076000,2,0,2.996532,2.828427
56,6.076000,2,1,2.072528,2.000000
56,6.076000,2,3,1.970054,2.000000
57,6.116000,2,0,2.904876,2.828427
57,6.116000,2,1,2.199219,2.000000
57,6.116000,2,3,2.089287,2.000000
58,6.156000,2,0,2.809805,2.828427
58,6.156000,2,1,2.008515,2.000000
58,6.156000,2,3,1.956384,2.000000
59,6.196000,2,0,2.639875,2.828427
59,6.196000,2,1,1.991586,2.000000
59,6.196000,2,3,1.989505,2.000000
60,6.236000,2,0,2.847214,2.828427
60,6.236000,2,1,1.959731,2.000000
60,6.236000,2,3,2.044606,2.000000
61,6.278000,2,0,2.835820,2.828427
61,6.278000,2,1,2.012370,2.000000
61,6.278000,2,3,2.038345,2.000000
62,6.316000,2,0,2.832795,2.828427
62,6.316000,2,1,1.975669,2.000000
62,6.316000,2,3,1.923739,2.000000
63,6.356000,2,0,2.847469,2.828427
63,6.356000,2,1,1.984948,2.000000
63,6.356000,2,3,1.937228,2.000000
64,6.396000,2,0,2.880067,2.828427
64,6.396000,2,1,2.012200,2.000000
64,6.396000,2,3,1.981576,2.000000
65,6.436000,2,0,2.770578,2.828427
65,6.436000,2,1,1.993872,2.000000
65,6.436000,2,3,1.944114,2.000000
66,6.476000,2,0,2.789596,2.828427
66,6.476000,2,1,1.920774,2.000000
66,6.476000,2,3,2.126069,2.000000
67,6.516000,2,0,2.783820,2.828427
67,6.516000,2,1,1.978256,2.000000
67,6.516000,2,3,2.039666,2.000000
68,6.556000,2,0,2.731325,2.828427
68,6.556000,2,1,2.084147,2.000000
68,6.556000,2,3,1.991765,2.000000
69,6.596000,2,0,3.043103,2.828427
69,6.596000,2,1,1.980473,2.000000
69,6.596000,2,3,2.048824,2.000000
70,6.636000,2,0,2.737476,2.828427
70,6.636000,2,1,2.025182,2.000000
70,6.636000,2,3,1.977698,2.000000
71,6.676000,2,0,2.819094,2.828427
71,6.676000,2,1,1.999432,2.000000
71,6.676000,2,3,1.996189,2.000000
72,6.716000,2,0,2.927306,2.828427
72,6.716000,2,1,2.058769,2.000000
72,6.716000,2,3,1.948547,2.000000
73,6.756000,2,0,2.752095,2.828427
73,6.756000,2,1,1.993626,2.000000
73,6.756000,2,3,1.908163,2.000000
74,6.796000,2,0,2.925986,2.828427
74,6.796000,2,1,2.001593,2.000000
74,6.796000,2,3,2.000084,2.000000
75,6.836000,2,0,2.785812,2.828427
75,6.836000,2,1,2.043495,2.000000
75,6.836000,2,3,1.813744,2.000000
76,6.876000,2,0,2.850505,2.828427
76,6.876000,2,1,2.003870,2.000000
76,6.876000,2,3,1.914187,2.000000
77,6.916000,2,0,2.892435,2.828427
77,6.916000,2,1,2.007982,2.000000
77,6.916000,2,3,2.039437,2.000000
78,6.956000,2,0,2.858875,2.828427
78,6.956000,2,1,2.034633,2.000000
78,6.956000,2,3,2.003791,2.000000
79,7.002000,2,0,2.755375,2.828427
79,7.002000,2,1,2.008150,2.000000
79,7.002000,2,3,1.993447,2.000000
80,7.036000,2,0,2.799639,2.828427
80,7.036000,2,1,2.030918,2.000000
80,7.036000,2,3,2.106307,2.000000
81,7.076000,2,0,2.862669,2.828427
81,7.076000,2,1,1.867177,2.000000
81,7.076000,2,3,1.937208,2.000000
82,7.116000,2,0,2.847649,2.828427
82,7.116000,2,1,2.099114,2.000000
82,7.116000,2,3,2.042863,2.000000
