stamp,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_3,com_age_3,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
20.269111111,0,-0.004444444,0.004444444,0.056888889,0.056888889,-0.052444444,0.052444444,-0.039111111,0.039111111,-0.269111111,0.269111111,-0.003111111,0.003111111,0.004888889,0.004888889,1,0.050000000,1,0,0,0,0,0,0,0.023281006,-0.021696340,0.362095300
20.342148148,0,-0.033259259,0.033259259,0.083851852,0.083851852,-0.050592592,0.050592592,0.007851852,0.007851852,-0.142148148,0.142148148,0.003851852,0.003851852,0.005851852,0.005851852,1,0.050000000,1,0,0,0,0,0,0,0.035676053,-0.077497941,0.409987838
20.408617284,0,-0.079728395,0.079728395,0.115382716,0.115382716,-0.035654321,0.035654321,-0.018617284,0.018617284,-0.208617284,0.208617284,-0.004617284,0.004617284,0.015382716,0.015382716,1,0.050000000,1,0,0,0,0,0,0,0.022421380,-0.093604572,0.446363763
20.573679012,0,-0.160641975,0.160641975,0.050320988,0.050320988,0.110320988,0.110320988,0.016320988,0.016320988,-0.173679012,0.173679012,-0.009679012,0.009679012,0.000320988,0.000320988,1,0.050000000,1,0,0,0,0,0,0,0.036892678,-0.118985207,0.570536948
20.693401920,0,-0.121196159,0.121196159,0.030598080,0.030598080,0.090598080,0.090598080,0.018598080,0.018598080,-0.293401920,0.293401920,-0.009401920,0.009401920,-0.007401920,0.007401920,1,0.050000000,1,0,0,0,0,0,0,0.084207294,-0.126576184,0.641475363
21.022566479,0,0.115433521,0.115433521,-0.019899812,0.019899812,-0.095533710,0.095533710,-0.032566479,0.032566479,-0.022566479,0.022566479,0.001433521,0.001433521,0.001433521,0.001433521,1,0.050000000,1,0,0,0,0,0,0,0.010500721,0.012794293,0.888490285
21.071374011,0,-0.033474199,0.033474199,0.029959322,0.029959322,0.003514878,0.003514878,-0.001374011,0.001374011,-0.071374011,0.071374011,-0.007374011,0.007374011,-0.009374011,0.009374011,1,0.050000000,1,0,0,0,0,0,0,0.006009993,0.017622137,0.930833162
21.074550492,0,-0.008287592,0.008287592,-0.024906298,0.024906298,0.033193890,0.033193890,-0.004550492,0.004550492,-0.074550492,0.074550492,0.009449508,0.009449508,-0.012550492,0.012550492,1,0.050000000,1,0,0,0,0,0,0,0.011197696,0.014898368,0.944870210
21.447333333,0,-0.011333333,0.011333333,-0.023333333,0.023333333,0.034666667,0.034666667,-0.017333333,0.017333333,-0.247333333,0.247333333,-0.003333333,0.003333333,-0.001333333,0.001333333,1,0.050000000,1,0,0,0,0,0,0,0.053512040,-0.028426122,1.239162124
21.466888889,0,-0.003555556,0.003555556,0.057111111,0.057111111,-0.053555556,0.053555556,0.005111111,0.005111111,-0.166888889,0.166888889,-0.002888889,0.002888889,0.017111111,0.017111111,1,0.050000000,1,0,0,0,0,0,0,0.055747704,-0.025339618,1.253265315
21.476148148,0,-0.014592593,0.014592593,0.000296296,0.000296296,0.014296296,0.014296296,-0.004148148,0.004148148,-0.176148148,0.176148148,0.007851852,0.007851852,0.007851852,0.007851852,1,0.050000000,1,0,0,0,0,0,0,0.064202674,-0.029955305,1.267320665
21.661975309,0,-0.184049383,0.184049383,0.064024691,0.064024691,0.120024691,0.120024691,-0.031975309,0.031975309,-0.161975309,0.161975309,0.004024691,0.004024691,0.016024691,0.016024691,1,0.050000000,1,0,0,0,0,0,0,0.011507633,-0.013259798,1.393679381
21.825111111,0,-0.061777778,0.061777778,0.004888889,0.004888889,0.056888889,0.056888889,0.004888889,0.004888889,-0.125111111,0.125111111,0.002888889,0.002888889,0.012888889,0.012888889,1,0.050000000,1,0,0,0,0,0,0,0.007114870,-0.050022555,1.506227678
21.786293553,0,0.005031550,0.005031550,-0.010515775,0.010515775,0.005484225,0.005484225,0.003706447,0.003706447,-0.086293553,0.086293553,-0.004293553,0.004293553,0.011706447,0.011706447,1,0.050000000,1,0,0,0,0,0,0,0.016209642,-0.066455040,1.475671938
21.792118580,0,0.005436976,0.005436976,-0.013685109,0.013685109,0.008248133,0.008248133,-0.002118580,0.002118580,-0.092118580,0.092118580,-0.010118580,0.010118580,0.005881420,0.005881420,1,0.050000000,1,0,0,0,0,0,0,0.020606665,-0.042204663,1.475671938
22.065422243,0,-0.177155515,0.177155515,0.060577757,0.060577757,0.116577757,0.116577757,0.004577757,0.004577757,-0.165422243,0.165422243,0.000577757,0.000577757,0.010577757,0.010577757,1,0.050000000,1,0,0,0,0,0,0,0.041731086,-0.019001326,1.660065334
22.138696303,0,0.025970364,0.025970364,0.079303697,0.079303697,-0.105274060,0.105274060,0.011303697,0.011303697,-0.138696303,0.138696303,0.007303697,0.007303697,0.009303697,0.009303697,1,0.050000000,1,0,0,0,0,0,0,0.063970117,-0.010403040,1.708251033
22.157575314,0,-0.051960485,0.051960485,0.019980242,0.019980242,0.031980242,0.031980242,-0.007575314,0.007575314,-0.157575314,0.157575314,0.008424686,0.008424686,-0.007575314,0.007575314,1,0.050000000,1,0,0,0,0,0,0,0.015523308,0.044697074,1.721122472
22.358867491,0,-0.190265019,0.190265019,0.067132509,0.067132509,0.123132509,0.123132509,-0.008867491,0.008867491,-0.156867491,0.156867491,0.007132509,0.007132509,0.017132509,0.017132509,1,0.050000000,1,0,0,0,0,0,0,0.013380379,-0.016101475,1.873390513
22.523333333,0,-0.059333333,0.059333333,0.000666667,0.000666667,0.058666667,0.058666667,0.026666667,0.026666667,-0.321333333,0.321333333,0.000666667,0.000666667,0.006666667,0.006666667,1,0.050000000,1,0,0,0,0,0,0,-0.009747199,-0.038088761,1.981017079
