stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
14.403111111,pre,3,0,0.012888889,-0.031111111,0.066888889,-0.005137831,-1.981539009,-0.037589629,-0.014513051,-1.947595076,-0.114217418,1.945026636,1.950995343,-0.005968706,nan,nan,nan,nan,nan,nan,nan,nan,0.014250183,nan,nan,0.000000000,0,0,0
14.403111111,pre,3,1,0.012888889,-0.031111111,-0.035777778,2.019280953,-1.988980662,0.046199274,1.954934789,-2.058159040,-0.021459720,2.862216473,2.838705547,0.023510925,nan,nan,nan,nan,nan,nan,nan,nan,0.221105447,nan,nan,0.000000000,0,0,0
14.403111111,pre,3,2,0.012888889,-0.031111111,-0.031111111,2.010823866,0.010497650,0.063418725,2.062829215,-0.053208085,0.011522775,1.941814423,2.063547490,-0.121733067,-0.015356175,-0.025788024,0.010431849,0.029340509,0.005583993,0.023756516,-0.122079401,0.023403249,5.927575886,0.539455845,6.150997128,0.000000000,1,1,1
14.403111111,post,3,0,0.012888889,-0.031111111,0.066888889,-0.005137831,-1.981539009,-0.037589629,-0.107767291,-1.951830750,-0.114217418,1.945026636,1.958137555,-0.013110919,nan,nan,nan,nan,nan,nan,nan,nan,0.068758479,nan,nan,0.000000000,0,0,0
14.403111111,post,3,1,0.012888889,-0.031111111,-0.035777778,2.019280953,-1.988980662,0.046199274,1.861680548,-2.062394715,-0.021459720,2.862216473,2.778450457,0.083766016,nan,nan,nan,nan,nan,nan,nan,nan,2.806698150,nan,nan,0.000000000,0,0,0
14.403111111,post,3,2,0.012888889,-0.031111111,-0.031111111,2.010823866,0.010497650,0.063418725,1.969574974,-0.057443759,0.011522775,1.941814423,1.970446178,-0.028631755,-0.015356175,-0.029157295,0.013801121,0.029340509,0.005847833,0.023492676,-0.028825161,0.027638923,0.327910957,0.640730746,0.605086246,0.000000000,1,1,1
14.479037037,pre,3,0,0.016962963,-0.107037037,0.088962963,-0.005237898,-1.981069017,-0.037714286,-0.106782416,-1.951539575,-0.105504165,1.974863052,1.957304352,0.017558701,nan,nan,nan,nan,nan,nan,nan,nan,0.123323189,nan,nan,0.000000000,0,0,0
14.479037037,pre,3,1,0.016962963,-0.107037037,-0.043703704,2.019546125,-1.988168417,0.046106176,1.894399162,-2.080446781,-0.032913209,2.827759981,2.813910139,0.013849842,nan,nan,nan,nan,nan,nan,nan,nan,0.076727250,nan,nan,0.000000000,0,0,0
14.479037037,pre,3,2,0.016962963,-0.107037037,-0.045259259,2.010893429,0.011001142,0.063717069,1.992741609,-0.074983718,0.006100055,1.998126984,1.994161199,0.003965784,-0.015356175,-0.037610676,0.022254501,0.029340509,0.003058963,0.026281547,0.004289892,0.044314543,0.006290978,1.147829759,0.670336941,0.000000000,1,1,1
14.479037037,post,3,0,0.016962963,-0.107037037,0.088962963,-0.005237898,-1.981069017,-0.037714286,-0.096765258,-1.935765522,-0.105504165,1.974863052,1.941051983,0.033811070,nan,nan,nan,nan,nan,nan,nan,nan,0.457275371,nan,nan,0.005586627,0,0,0
14.479037037,post,3,1,0.016962963,-0.107037037,-0.043703704,2.019546125,-1.988168417,0.046106176,1.904416320,-2.064672728,-0.032913209,2.827759981,2.809049354,0.018710627,nan,nan,nan,nan,nan,nan,nan,nan,0.140035032,nan,nan,0.005586627,0,0,0
14.479037037,post,3,2,0.016962963,-0.107037037,-0.045259259,2.010893429,0.011001142,0.063717069,2.002758767,-0.059209665,0.006100055,1.998126984,2.003643100,-0.005516117,-0.015356175,-0.029555444,0.014199269,0.029340509,0.003044487,0.026296023,-0.005727266,0.028540490,0.012171017,0.752913358,0.288105958,0.005586627,1,1,1
14.453728395,pre,3,0,0.002271605,0.018271605,-0.029654321,-0.005232656,-1.981092673,-0.037709684,-0.069524092,-2.010313611,0.023472571,1.963508606,2.011652399,-0.048143793,nan,nan,nan,nan,nan,nan,nan,nan,0.927129916,nan,nan,0.000000000,0,0,0
14.453728395,pre,3,1,0.002271605,0.018271605,0.014567901,2.019533631,-1.988210922,0.046112016,1.952161655,-2.088824881,-0.013923134,2.853844166,2.859076488,-0.005232322,nan,nan,nan,nan,nan,nan,nan,nan,0.010950877,nan,nan,0.000000000,0,0,0
14.453728395,pre,3,2,0.002271605,0.018271605,0.015086420,2.010890721,0.010975124,0.063702790,2.038755305,-0.058550322,0.016472237,1.975185156,2.039662391,-0.064477235,0.010320184,-0.028710769,0.039030953,0.028768428,0.008076050,0.020692377,-0.064492587,0.078925800,1.662925546,2.349651642,3.814045985,0.000000000,1,1,1
14.453728395,post,3,0,0.002271605,0.018271605,-0.029654321,-0.005232656,-1.981092673,-0.037709684,-0.111906366,-1.959130594,0.023472571,1.963508606,1.962464441,0.001044165,nan,nan,nan,nan,nan,nan,nan,nan,0.000436112,nan,nan,0.070655333,0,0,0
14.453728395,post,3,1,0.002271605,0.018271605,0.014567901,2.019533631,-1.988210922,0.046112016,1.909779381,-2.037641864,-0.013923134,2.853844166,2.792746946,0.061097220,nan,nan,nan,nan,nan,nan,nan,nan,1.493148112,nan,nan,0.070655333,0,0,0
14.453728395,post,3,2,0.002271605,0.018271605,0.015086420,2.010890721,0.010975124,0.063702790,1.996373031,-0.007367306,0.016472237,1.975185156,1.996454580,-0.021269424,0.010320184,-0.003690329,0.014010512,0.028768428,0.008250838,0.020517589,-0.022110313,0.027742784,0.180955363,0.557419339,0.461241727,0.070655333,1,1,1
14.776000000,pre,3,0,0.000000000,-0.104000000,-0.008000000,-0.006060217,-1.978612353,-0.036771322,-0.140426407,-1.883050931,-0.128578441,1.958584428,1.892652319,0.065932109,nan,nan,nan,nan,nan,nan,nan,nan,1.738817186,nan,nan,0.000000000,0,0,0
14.776000000,pre,3,1,0.000000000,-0.104000000,0.010000000,2.020034181,-1.981830237,0.043544828,1.842193367,-1.928895820,-0.060240552,2.838714600,2.667947602,0.170766997,nan,nan,nan,nan,nan,nan,nan,nan,11.664546929,nan,nan,0.000000000,0,0,0
14.776000000,pre,3,2,0.000000000,-0.104000000,-0.002000000,2.009994435,0.014593696,0.063684495,1.907941347,0.055887490,-0.022352619,2.044984818,1.908890577,0.136094240,0.003523899,0.029283664,-0.025759765,0.029045088,-0.011710011,0.040755099,0.136168247,-0.048684225,7.408656917,2.049955563,8.171820185,0.000000000,1,1,1
14.776000000,post,3,0,0.000000000,-0.104000000,-0.008000000,-0.006060217,-1.978612353,-0.036771322,0.002516411,-1.946383507,-0.128578441,1.958584428,1.950627465,0.007956963,nan,nan,nan,nan,nan,nan,nan,nan,0.025325305,nan,nan,0.391098632,0,0,0
14.776000000,post,3,1,0.000000000,-0.104000000,0.010000000,2.020034181,-1.981830237,0.043544828,1.985136185,-1.992228396,-0.060240552,2.838714600,2.813071023,0.025643577,nan,nan,nan,nan,nan,nan,nan,nan,0.263037209,nan,nan,0.391098632,0,0,0
14.776000000,post,3,2,0.000000000,-0.104000000,-0.002000000,2.009994435,0.014593696,0.063684495,2.050884165,-0.007445087,-0.022352619,2.044984818,2.051019485,-0.006034668,0.003523899,-0.003630168,0.007154067,0.029045088,-0.010898513,0.039943601,-0.006774571,0.014648352,0.014566886,1.179673587,0.087492485,0.391098632,1,1,1
14.771333333,pre,3,0,0.004666667,-0.099333333,0.002666667,-0.006054884,-1.978620759,-0.036783320,0.000913549,-1.944363373,0.011002500,1.958584428,1.944394717,0.014189711,nan,nan,nan,nan,nan,nan,nan,nan,0.080539155,nan,nan,0.000000000,0,0,0
14.771333333,pre,3,1,0.004666667,-0.099333333,-0.003333333,2.020038172,-1.981867597,0.043568922,2.068177008,-2.004196702,-0.026384941,2.838714600,2.880079291,-0.041364691,nan,nan,nan,nan,nan,nan,nan,nan,0.684415063,nan,nan,0.000000000,0,0,0
14.771333333,pre,3,2,0.004666667,-0.099333333,0.000666667,2.010007212,0.014573880,0.063697889,2.026530525,0.007408149,0.000233472,2.044984818,2.026544079,0.018440738,0.003523899,0.003655566,-0.000131667,0.029045088,0.000115207,0.028929881,0.017579069,-0.000204884,0.136024329,0.582682908,0.123476556,0.000000000,1,1,1
14.771333333,post,3,0,0.004666667,-0.099333333,0.002666667,-0.006054884,-1.978620759,-0.036783320,0.004363330,-1.939283292,0.011002500,1.958584428,1.939319411,0.019265017,nan,nan,nan,nan,nan,nan,nan,nan,0.148456346,nan,nan,0.000603331,0,0,0
14.771333333,post,3,1,0.004666667,-0.099333333,-0.003333333,2.020038172,-1.981867597,0.043568922,2.071626788,-1.999116620,-0.026384941,2.838714600,2.879027783,-0.040313183,nan,nan,nan,nan,nan,nan,nan,nan,0.650061105,nan,nan,0.000603331,0,0,0
14.771333333,post,3,2,0.004666667,-0.099333333,0.000666667,2.010007212,0.014573880,0.063697889,2.029980306,0.012488231,0.000233472,2.044984818,2.030018732,0.014966085,0.003523899,0.006151820,-0.002627921,0.029045088,0.000115010,0.028930078,0.014129288,-0.005284966,0.089593486,0.591967690,0.088762106,0.000603331,1,1,1
14.772888889,pre,3,0,0.003111111,-0.000888889,-0.000888889,-0.006054884,-1.978620759,-0.036783320,0.071090424,-1.968504679,0.000195468,1.958584428,1.969787948,-0.011203520,nan,nan,nan,nan,nan,nan,nan,nan,0.050207543,nan,nan,0.000000000,0,0,0
14.772888889,pre,3,1,0.003111111,-0.000888889,0.001111111,2.020038172,-1.981867597,0.043568922,2.065614546,-2.005185008,-0.042507558,2.838714600,2.879120918,-0.040406318,nan,nan,nan,nan,nan,nan,nan,nan,0.653068225,nan,nan,0.000000000,0,0,0
14.772888889,pre,3,2,0.003111111,-0.000888889,-0.000222222,2.010007212,0.014573880,0.063697889,2.021419833,0.024483652,-0.012389262,2.044984818,2.021606065,0.023378752,0.008785246,0.012111514,-0.003326268,0.028328564,-0.006128464,0.034457028,0.022665597,-0.006525397,0.218626423,0.841465205,0.218980123,0.000000000,1,1,1
14.772888889,post,3,0,0.003111111,-0.000888889,-0.000888889,-0.006054884,-1.978620759,-0.036783320,0.079873745,-1.957849468,0.000195468,1.958584428,1.959478092,-0.000893664,nan,nan,nan,nan,nan,nan,nan,nan,0.000319454,nan,nan,0.003050884,0,0,0
14.772888889,post,3,1,0.003111111,-0.000888889,0.001111111,2.020038172,-1.981867597,0.043568922,2.074397866,-1.994529797,-0.042507558,2.838714600,2.878034487,-0.039319888,nan,nan,nan,nan,nan,nan,nan,nan,0.618421431,nan,nan,0.003050884,0,0,0
14.772888889,post,3,2,0.003111111,-0.000888889,-0.000222222,2.010007212,0.014573880,0.063697889,2.030203153,0.035138863,-0.012389262,2.044984818,2.030545020,0.014439798,0.008785246,0.017306325,-0.008521079,0.028328564,-0.006101484,0.034430048,0.013882277,-0.017180608,0.083403104,0.923052875,0.172129271,0.003050884,1,1,1
15.078666667,pre,3,0,-0.020666667,-0.206666667,-0.008666667,-0.006838049,-1.977729354,-0.035059155,0.011928471,-1.932006163,-0.131320140,2.022206068,1.936500731,0.085705337,nan,nan,nan,nan,nan,nan,nan,nan,2.938161886,nan,nan,0.000000000,0,0,0
15.078666667,pre,3,1,-0.020666667,-0.206666667,0.011333333,2.018888522,-1.976665310,0.038748062,1.997394506,-1.977188951,-0.077593460,2.852895737,2.811562147,0.041333590,nan,nan,nan,nan,nan,nan,nan,nan,0.683386261,nan,nan,0.000000000,0,0,0
15.078666667,pre,3,2,-0.020666667,-0.206666667,-0.002666667,2.007477568,0.017322765,0.059975629,2.063264275,0.010236005,-0.048775072,1.989097595,2.063866093,-0.074768498,-0.008187057,0.004961033,-0.013148090,0.029249374,-0.023635067,0.052884441,-0.075084115,-0.026513714,2.236131326,2.179856402,2.492051958,0.000000000,1,1,1
15.078666667,post,3,0,-0.020666667,-0.206666667,-0.008666667,-0.006838049,-1.977729354,-0.035059155,-0.047350515,-1.990462093,-0.131320140,2.022206068,1.995351196,0.026854872,nan,nan,nan,nan,nan,nan,nan,nan,0.288473665,nan,nan,0.110897501,0,0,0
15.078666667,post,3,1,-0.020666667,-0.206666667,0.011333333,2.018888522,-1.976665310,0.038748062,1.938115520,-2.035644881,-0.077593460,2.852895737,2.811789928,0.041105809,nan,nan,nan,nan,nan,nan,nan,nan,0.675875020,nan,nan,0.110897501,0,0,0
