stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
154.500000000,1,0,0.004484403,0.030667763,0.361262772,-0.019963693,-0.015579223,0.443798599,0.024448096,0.046246986,-0.082535828,0.097717224,0.100802595
154.500000000,1,2,2.040398678,1.979191315,0.275420730,1.995037459,1.991272334,0.380476419,0.045361219,-0.012081019,-0.105055689,0.115066454,0.092754281
154.500000000,1,3,0.028228125,1.975676651,0.386245020,-0.008981497,1.956671743,0.489787007,0.037209622,0.019004908,-0.103541987,0.111654313,0.138913691
154.600000000,1,0,0.000478963,0.027873349,0.428650658,-0.022045958,-0.017204251,0.519909276,0.022524921,0.045077600,-0.091258618,0.104247290,0.108799577
154.600000000,1,2,2.039802973,1.978402071,0.340621037,1.994328881,1.989944283,0.453965698,0.045474092,-0.011542211,-0.113344661,0.122670811,0.100751376
154.600000000,1,3,0.026307668,1.970997670,0.455701861,-0.009821980,1.953514631,0.565300973,0.036129648,0.017483040,-0.109599111,0.116717494,0.138904852
154.700000000,1,0,-0.002180226,0.024811571,0.477272241,-0.023311874,-0.018181083,0.574850647,0.021131648,0.042992654,-0.097578405,0.108703542,0.112796560
154.700000000,1,2,2.039864118,1.979525719,0.410321349,1.993920467,1.989092857,0.507392244,0.045943651,-0.009567138,-0.097070895,0.107819793,0.104754473
154.700000000,1,3,0.055393531,1.975645944,0.506011169,-0.010298343,1.951829890,0.619266564,0.065691874,0.023816054,-0.113255395,0.133076712,-0.100000000
154.800000000,1,0,-0.000539283,0.023778769,0.550356176,-0.024874126,-0.019363678,0.657373226,0.024334843,0.043142447,-0.107017051,0.117924147,0.116793546
154.800000000,1,2,2.040766562,1.976511955,0.476259033,1.993447235,1.988007311,0.587996569,0.047319327,-0.011495356,-0.111737536,0.121887402,0.108757572
154.800000000,1,3,0.019711746,1.965137003,0.573592199,-0.010834241,1.950158631,0.699782837,0.030545987,0.014978372,-0.126190638,0.130696159,-0.100000000
154.900000000,1,0,-0.004969616,0.021606429,0.629767309,-0.026033159,-0.020221805,0.738952279,0.021063543,0.041828234,-0.109184969,0.118805015,0.116796533
154.900000000,1,2,2.039887800,1.974386742,0.541017107,1.993100910,1.987160916,0.667984093,0.046786889,-0.012774174,-0.126966985,0.135914708,0.108760673
154.900000000,1,3,-0.050264751,1.938922674,0.648943064,-0.011167213,1.949402947,0.778746245,-0.039097538,-0.010480273,-0.129803181,0.135968082,-0.100000000
155.000000000,1,0,-0.004876112,0.023096095,0.719123640,-0.026640142,-0.020675725,0.797620663,0.021764030,0.043771820,-0.078497023,0.092473931,0.120787522
155.000000000,1,2,2.039128481,1.972480743,0.624461691,1.992906081,1.986697951,0.725709578,0.046222400,-0.014217208,-0.101247887,0.112204161,0.112757776
155.000000000,1,3,-0.055793198,1.931444060,0.715288454,-0.011297847,1.949340160,0.835255734,-0.044495351,-0.017896100,-0.119967280,0.129198509,-0.100000000
155.100000000,1,0,-0.009772479,0.022064523,0.823933524,-0.027207669,-0.021108309,0.878084423,0.017435191,0.043172833,-0.054150899,0.071415679,0.076784513
155.100000000,1,2,2.036012429,1.972578376,0.703144299,1.992704747,1.986251055,0.805172563,0.043307682,-0.013672678,-0.102028263,0.111679291,0.116760881
155.100000000,1,3,-0.023382608,1.936139171,0.790578214,-0.011345445,1.949814947,0.912496428,-0.012037163,-0.013675776,-0.121918214,0.123271939,-0.100000000
155.200000000,1,0,-0.013277071,0.021355872,0.892249192,-0.027547045,-0.021329992,0.962066331,0.014269973,0.042685864,-0.069817139,0.083067130,0.076787506
155.200000000,1,2,2.012963055,1.976187196,0.733417788,1.992578699,1.985963715,0.888574502,0.020384356,-0.009776519,-0.155156713,0.156795114,-0.200000000
155.200000000,1,3,0.027124803,1.978721338,0.848098981,-0.011224359,1.950939520,0.993115677,0.038349163,0.027781819,-0.145016696,0.152552712,-0.100000000
155.300000000,1,0,-0.015145282,0.013064756,0.904318729,-0.027653950,-0.021287700,1.049198892,0.012508668,0.034352456,-0.144880163,0.149421617,-0.200000000
155.300000000,1,2,2.031842952,2.005312733,0.800548279,1.992514525,1.985793296,0.975703540,0.039328427,0.019519436,-0.175155261,0.180574359,-0.200000000
155.300000000,1,3,0.022140884,1.998223540,0.930585777,-0.010886965,1.952724224,1.076886189,0.033027849,0.045499316,-0.146300411,0.156731735,-0.100000000
155.400000000,1,0,-0.045613117,0.010344607,1.004859651,-0.027576303,-0.021113239,1.107105855,-0.018036814,0.031457847,-0.102246204,0.108485985,-0.200000000
155.400000000,1,2,1.991333459,1.995147252,0.893707049,1.992483939,1.985758439,1.034020786,-0.001150480,0.009388812,-0.140313738,0.140632210,-0.200000000
155.400000000,1,3,0.003173182,1.990759703,1.006134787,-0.010534369,1.954211709,1.132726878,0.013707550,0.036547994,-0.126592091,0.132473432,-0.100000000
155.500000000,1,0,-0.051824335,0.010013474,1.081488589,-0.027242794,-0.020699761,1.190473968,-0.024581541,0.030713235,-0.108985379,0.115867889,-0.200000000
155.500000000,1,2,1.983626555,2.001416267,0.980944521,1.992457502,1.985893445,1.118390089,-0.008830947,0.015522822,-0.137445568,0.138600966,-0.200000000
155.500000000,1,3,-0.051812146,1.987968423,1.109233253,-0.009861297,1.956713842,1.213298911,-0.041950850,0.031254581,-0.104065658,0.116474820,-0.100000000
155.600000000,1,0,-0.091504192,0.023880932,1.143030605,-0.026620305,-0.020101133,1.277620640,-0.064883887,0.043982064,-0.134590035,0.155752426,-0.200000000
155.600000000,1,2,1.987062468,1.976407926,1.053733421,1.992486337,1.986334562,1.207012242,-0.005423869,-0.009926636,-0.153278820,0.153695651,-0.200000000
155.600000000,1,3,-0.011137451,2.000402736,1.168135403,-0.008990250,1.959746751,1.297808817,-0.002147202,0.040655984,-0.129673414,0.135914362,-0.100000000
155.700000000,1,0,-0.072787760,0.023399611,1.236037111,-0.026051712,-0.019608636,1.337161783,-0.046736047,0.043008247,-0.101124672,0.119415940,-0.200000000
155.700000000,1,2,2.035617099,1.908196850,1.150294256,1.992555465,1.986815190,1.267813137,0.043061634,-0.078618339,-0.117518881,0.147803366,-0.200000000
155.700000000,1,3,0.032766112,1.977061976,1.242353456,-0.008293366,1.962049580,1.356094322,0.041059477,0.015012396,-0.113740866,0.121853344,-0.100000000
155.800000000,1,0,-0.104817019,-0.016366699,1.326643261,-0.025091704,-0.018832735,1.419579288,-0.079725314,0.002466036,-0.092936027,0.122471679,-0.200000000
155.800000000,1,2,2.085983193,1.867305624,1.227579086,1.992723093,1.987712961,1.352234711,0.093260100,-0.120407337,-0.124655624,0.196810564,-0.200000000
155.800000000,1,3,0.044014445,1.944542087,1.319444240,-0.007152852,1.965492906,1.437908832,0.051167297,-0.020950819,-0.118464592,0.130732126,-0.100000000
155.900000000,1,0,-0.103769262,-0.040808077,1.421146911,-0.024272206,-0.018215648,1.479313109,-0.079497056,-0.022592429,-0.058166198,0.101061894,-0.200000000
155.900000000,1,2,2.059245687,1.882787006,1.305073978,1.992896330,1.988535616,1.413386781,0.066349358,-0.105748611,-0.108312803,0.165277552,-0.200000000
155.900000000,1,3,0.063176958,1.931566895,1.385710112,-0.006180582,1.968107344,1.497850969,0.069357540,-0.036540449,-0.112140857,0.136825599,-0.100000000
156.000000000,1,0,-0.086873966,-0.094583397,1.473973763,-0.023007140,-0.017314526,1.558851160,-0.063866826,-0.077268870,-0.084877397,0.131353044,-0.200000000
156.000000000,1,2,2.070804302,1.853248713,1.390787392,1.993196564,1.989870073,1.494320531,0.077607739,-0.136621359,-0.103533139,0.188168722,-0.200000000
156.000000000,1,3,-0.002316478,1.933839955,1.455552991,-0.004691405,1.971658850,1.578054832,0.002374927,-0.037818895,-0.122501842,0.128228742,-0.100000000
156.100000000,1,0,-0.055315170,-0.107241902,1.556467190,-0.021485655,-0.016240662,1.640862491,-0.033829516,-0.091001239,-0.084395300,0.128639918,-0.200000000
156.100000000,1,2,1.995472564,1.858992695,1.478118703,1.993589620,1.991516561,1.576900488,0.001882945,-0.132523865,-0.098781785,0.165299611,-0.200000000
156.100000000,1,3,0.019301314,1.888520446,1.527904268,-0.002943143,1.975326618,1.660345885,0.022244457,-0.086806172,-0.132441616,0.159909065,-0.100000000
156.200000000,1,0,-0.109628211,-0.122437681,1.633292985,-0.020349062,-0.015426965,1.695192630,-0.089279149,-0.107010716,-0.061899644,0.152491396,-0.200000000
156.200000000,1,2,1.982575885,1.838152863,1.551487669,1.993890656,1.992747153,1.631303625,-0.011314771,-0.154594290,-0.079815955,0.174350238,-0.200000000
156.200000000,1,3,0.001067496,1.859699570,1.594586262,-0.001673024,1.977738591,1.714585458,0.002740520,-0.118039021,-0.119999196,0.168346452,-0.100000000
