seq,raw_timestamp,effective_timestamp,stamp_shift,self_id,target_id,filtered_distance,latest_raw_distance,gt_distance_latest,window_size,window_span,window_lag,reject_count
0,8.550000,8.550000,0.000000,2,0,2.844000,2.844000,2.828427,1,0.000000,0.000000,0
0,8.550000,8.550000,0.000000,2,1,1.937331,1.937331,2.000000,1,0.000000,0.000000,0
0,8.550000,8.550000,0.000000,2,3,2.145941,2.145941,2.000000,1,0.000000,0.000000,0
1,8.550000,8.550000,0.000000,2,0,2.862820,2.881639,2.828427,2,0.000000,0.000000,0
1,8.550000,8.550000,0.000000,2,1,1.957213,1.977095,2.000000,2,0.000000,0.000000,0
1,8.550000,8.550000,0.000000,2,3,1.996708,1.847476,2.000000,2,0.000000,0.000000,0
2,8.590000,8.563333,-0.026667,2,0,2.840157,2.794832,2.828427,3,0.040000,0.026667,0
2,8.590000,8.563333,-0.026667,2,1,1.956268,1.954378,2.000000,3,0.040000,0.026667,0
2,8.590000,8.563333,-0.026667,2,3,1.966739,1.906799,2.000000,3,0.040000,0.026667,0
3,8.630000,8.580000,-0.050000,2,0,2.845763,2.862583,2.828427,4,0.080000,0.050000,0
3,8.630000,8.580000,-0.050000,2,1,1.944273,1.908288,2.000000,4,0.080000,0.050000,0
3,8.630000,8.580000,-0.050000,2,3,2.000549,2.101980,2.000000,4,0.080000,0.050000,0
4,8.670000,8.598000,-0.072000,2,0,2.848026,2.857078,2.828427,5,0.120000,0.072000,0
4,8.670000,8.598000,-0.072000,2,1,1.959903,2.022422,2.000000,5,0.120000,0.072000,0
4,8.670000,8.598000,-0.072000,2,3,2.011561,2.055611,2.000000,5,0.120000,0.072000,0
5,8.710000,8.630000,-0.080000,2,0,2.856861,2.888173,2.828427,5,0.160000,0.080000,0
5,8.710000,8.630000,-0.080000,2,1,1.985453,2.065083,2.000000,5,0.160000,0.080000,0
5,8.710000,8.630000,-0.080000,2,3,1.987946,2.027862,2.000000,5,0.160000,0.080000,0
6,8.750000,8.670000,-0.080000,2,0,2.849276,2.843714,2.828427,5,0.160000,0.080000,0
6,8.750000,8.670000,-0.080000,2,1,1.982559,1.962626,2.000000,5,0.160000,0.080000,0
6,8.750000,8.670000,-0.080000,2,3,1.998663,1.901062,2.000000,5,0.160000,0.080000,0
7,8.790000,8.710000,-0.080000,2,0,2.850453,2.800718,2.828427,5,0.160000,0.080000,0
7,8.790000,8.710000,-0.080000,2,1,1.993065,2.006904,2.000000,5,0.160000,0.080000,0
7,8.790000,8.710000,-0.080000,2,3,1.990696,1.866966,2.000000,5,0.160000,0.080000,0
8,8.830000,8.750000,-0.080000,2,0,2.813511,2.677870,2.828427,5,0.160000,0.080000,0
8,8.830000,8.750000,-0.080000,2,1,2.005363,1.969781,2.000000,5,0.160000,0.080000,0
8,8.830000,8.750000,-0.080000,2,3,1.974856,2.022777,2.000000,5,0.160000,0.080000,0
9,8.870000,8.790000,-0.080000,2,0,2.786656,2.722806,2.828427,5,0.160000,0.080000,0
9,8.870000,8.790000,-0.080000,2,1,2.038745,2.189332,2.000000,5,0.160000,0.080000,0
9,8.870000,8.790000,-0.080000,2,3,1.963168,1.997173,2.000000,5,0.160000,0.080000,0
10,8.910000,8.830000,-0.080000,2,0,2.750172,2.705755,2.828427,5,0.160000,0.080000,0
10,8.910000,8.830000,-0.080000,2,1,2.032912,2.035918,2.000000,5,0.160000,0.080000,0
10,8.910000,8.830000,-0.080000,2,3,1.978385,2.103949,2.000000,5,0.160000,0.080000,0
11,8.950000,8.870000,-0.080000,2,0,2.721877,2.702235,2.828427,5,0.160000,0.080000,0
11,8.950000,8.870000,-0.080000,2,1,2.021229,1.904208,2.000000,5,0.160000,0.080000,0
11,8.950000,8.870000,-0.080000,2,3,1.984867,1.933472,2.000000,5,0.160000,0.080000,0
12,8.990000,8.910000,-0.080000,2,0,2.724326,2.812965,2.828427,5,0.160000,0.080000,0
12,8.990000,8.910000,-0.080000,2,1,2.019570,1.998611,2.000000,5,0.160000,0.080000,0
12,8.990000,8.910000,-0.080000,2,3,2.023558,2.060419,2.000000,5,0.160000,0.080000,0
13,9.032000,8.950400,-0.081600,2,0,2.762225,2.867365,2.828427,5,0.162000,0.081600,0
13,9.032000,8.950400,-0.081600,2,1,2.016659,1.955227,2.000000,5,0.162000,0.081600,0
13,9.032000,8.950400,-0.081600,2,3,1.988280,1.846386,2.000000,5,0.162000,0.081600,0
14,9.070000,8.990400,-0.079600,2,0,2.786541,2.844382,2.828427,5,0.160000,0.079600,0
14,9.070000,8.990400,-0.079600,2,1,2.001060,2.111336,2.000000,5,0.160000,0.079600,0
14,9.070000,8.990400,-0.079600,2,3,1.993215,2.021847,2.000000,5,0.160000,0.079600,0
15,9.110000,9.030400,-0.079600,2,0,2.836849,2.957298,2.828427,5,0.160000,0.079600,0
15,9.110000,9.030400,-0.079600,2,1,2.018370,2.122470,2.000000,5,0.160000,0.079600,0
15,9.110000,9.030400,-0.079600,2,3,1.986347,2.069613,2.000000,5,0.160000,0.079600,0
16,9.150000,9.070400,-0.079600,2,0,2.886115,2.948567,2.828427,5,0.160000,0.079600,0
16,9.150000,9.070400,-0.079600,2,1,2.023619,1.930453,2.000000,5,0.160000,0.079600,0
16,9.150000,9.070400,-0.079600,2,3,2.003416,2.018814,2.000000,5,0.160000,0.079600,0
17,9.190000,9.110400,-0.079600,2,0,2.881725,2.791012,2.828427,5,0.158000,0.079600,0
17,9.190000,9.110400,-0.079600,2,1,1.988439,1.822712,2.000000,5,0.158000,0.079600,0
17,9.190000,9.110400,-0.079600,2,3,1.989462,1.990647,2.000000,5,0.158000,0.079600,0
18,9.230000,9.150000,-0.080000,2,0,2.875288,2.835181,2.828427,5,0.160000,0.080000,0
18,9.230000,9.150000,-0.080000,2,1,1.997727,2.001666,2.000000,5,0.160000,0.080000,0
18,9.230000,9.150000,-0.080000,2,3,2.034070,2.069427,2.000000,5,0.160000,0.080000,0
19,9.270000,9.190000,-0.080000,2,0,2.859783,2.766856,2.828427,5,0.160000,0.080000,0
19,9.270000,9.190000,-0.080000,2,1,1.984588,2.045637,2.000000,5,0.160000,0.080000,0
19,9.270000,9.190000,-0.080000,2,3,2.031622,2.009609,2.000000,5,0.160000,0.080000,0
20,9.310000,9.230000,-0.080000,2,0,2.821522,2.765993,2.828427,5,0.160000,0.080000,0
20,9.310000,9.230000,-0.080000,2,1,1.944627,1.922668,2.000000,5,0.160000,0.080000,0
20,9.310000,9.230000,-0.080000,2,3,2.024302,2.033014,2.000000,5,0.160000,0.080000,0
21,9.350000,9.270000,-0.080000,2,0,2.838192,3.031919,2.828427,5,0.160000,0.080000,0
21,9.350000,9.270000,-0.080000,2,1,1.949503,1.954831,2.000000,5,0.160000,0.080000,0
21,9.350000,9.270000,-0.080000,2,3,2.040408,2.099341,2.000000,5,0.160000,0.080000,0
22,9.390000,9.310000,-0.080000,2,0,2.826685,2.733474,2.828427,5,0.160000,0.080000,0
22,9.390000,9.310000,-0.080000,2,1,2.008039,2.115395,2.000000,5,0.160000,0.080000,0
22,9.390000,9.310000,-0.080000,2,3,2.037598,1.976597,2.000000,5,0.160000,0.080000,0
23,9.430000,9.350000,-0.080000,2,0,2.815545,2.779484,2.828427,5,0.160000,0.080000,0
23,9.430000,9.350000,-0.080000,2,1,1.971104,1.816986,2.000000,5,0.160000,0.080000,0
23,9.430000,9.350000,-0.080000,2,3,2.023143,1.997151,2.000000,5,0.160000,0.080000,0
24,9.470000,9.390000,-0.080000,2,0,2.834590,2.862078,2.828427,5,0.160000,0.080000,0
24,9.470000,9.390000,-0.080000,2,1,1.990456,2.142401,2.000000,5,0.160000,0.080000,0
24,9.470000,9.390000,-0.080000,2,3,2.001216,1.899979,2.000000,5,0.160000,0.080000,0
25,9.510000,9.430000,-0.080000,2,0,2.815764,2.671863,2.828427,5,0.160000,0.080000,0
25,9.510000,9.430000,-0.080000,2,1,2.018558,2.063175,2.000000,5,0.160000,0.080000,0
25,9.510000,9.430000,-0.080000,2,3,1.977482,1.914343,2.000000,5,0.160000,0.080000,0
26,9.550000,9.470000,-0.080000,2,0,2.741531,2.660754,2.828427,5,0.160000,0.080000,0
